datno	setno	division	subdivision	calage	calspan	calsigI	calsigD	calsigC	calseqno	c14age	c14sig	c14addsig	c14mulsig	ReservoirAge	ReservoirSig	labid	Date_Modified
7389	20	1	0	24295.0	10	194	0	0.0	176	20800	95	0	1.00	430	200	NSRL-13080	2012-12-21
7390	20	1	0	24398.0	10	196	0	0.0	177	20695	45	0	1.00	430	200	UCIAMS-16539	2012-12-21
7391	20	1	0	24500.0	10	203	0	0.0	178	20765	35	0	1.00	430	200	UCIAMS-16948	2012-12-21
7392	20	1	0	24602.0	10	210	0	0.0	179	20910	60	0	1.00	430	200	CAMS-52754	2012-12-21
7393	20	1	0	24704.0	10	217	0	0.0	180	21005	40	0	1.00	430	200	UCIAMS-16949	2012-12-21
7394	20	1	0	24805.0	10	222	0	0.0	181	21020	45	0	1.00	430	200	UCIAMS-16543	2012-12-21
7395	20	1	0	24906.0	10	223	0	0.0	182	21225	40	0	1.00	430	200	UCIAMS-19520	2012-12-21
7396	20	1	0	24906.0	10	223	0	0.0	183	21140	70	0	1.00	430	200	UCIAMS-21431	2012-12-21
7397	20	1	0	25007.0	10	221	0	0.0	184	21125	50	0	1.00	430	200	UCIAMS-16545	2012-12-21
7398	20	1	0	25007.0	10	221	0	0.0	185	21370	80	0	1.00	430	200	UCIAMS-21432	2012-12-21
7399	20	1	0	25107.0	10	215	0	0.0	186	21510	100	0	1.00	430	200	NSRL-12283	2012-12-21
7400	20	1	0	25107.0	10	215	0	0.0	187	21620	60	0	1.00	430	200	UCIAMS-21433	2012-12-21
7401	20	1	0	25206.0	10	206	0	0.0	188	21770	50	0	1.00	430	200	UCIAMS-16546	2012-12-21
7402	20	1	0	25206.0	10	206	0	0.0	189	21590	40	0	1.00	430	200	UCIAMS-19521	2012-12-21
7403	20	1	0	25206.0	10	206	0	0.0	190	21590	60	0	1.00	430	200	UCIAMS-21434	2012-12-21
7404	20	1	0	25305.0	10	195	0	0.0	191	21625	40	0	1.00	430	200	UCIAMS-19522	2012-12-21
7405	20	1	0	25305.0	10	195	0	0.0	192	21675	50	0	1.00	430	200	UCIAMS-21435	2012-12-21
7406	20	1	0	25404.0	10	182	0	0.0	193	21595	40	0	1.00	430	200	UCIAMS-16951	2012-12-21
7407	20	1	0	25404.0	10	182	0	0.0	194	21700	120	0	1.00	430	200	NSRL-13084	2012-12-21
7408	20	1	0	25502.0	10	172	0	0.0	195	21750	50	0	1.00	430	200	UCIAMS-16548	2012-12-21
7409	20	1	0	25600.0	10	166	0	0.0	196	21890	70	0	1.00	430	200	CAMS-52755	2012-12-21
7410	20	1	0	25698.0	10	169	0	0.0	197	21935	40	0	1.00	430	200	UCIAMS-16952	2012-12-21
7411	20	1	0	25795.0	10	180	0	0.0	198	21925	45	0	1.00	430	200	UCIAMS-19523	2012-12-21
7412	20	1	0	25795.0	10	180	0	0.0	199	21880	60	0	1.00	430	200	UCIAMS-21436	2012-12-21
7413	20	1	0	25892.0	10	196	0	0.0	200	22180	40	0	1.00	430	200	UCIAMS-16953	2012-12-21
7414	20	1	0	25989.0	10	213	0	0.0	201	22145	45	0	1.00	430	200	UCIAMS-17570	2012-12-21
7415	20	1	0	26085.0	10	229	0	0.0	202	22670	120	0	1.00	430	200	NSRL-12284	2012-12-21
7416	20	1	0	26085.0	10	229	0	0.0	203	22650	45	0	1.00	430	200	UCIAMS-19524	2012-12-21
7417	20	1	0	26180.0	10	243	0	0.0	204	22525	40	0	1.00	430	200	UCIAMS-16954	2012-12-21
7418	20	1	0	26274.0	10	254	0	0.0	205	22440	120	0	1.00	430	200	UCIAMS-3449	2012-12-21
7419	20	1	0	26274.0	10	254	0	0.0	206	22600	45	0	1.00	430	200	UCIAMS-19525	2012-12-21
7420	20	1	0	26368.0	10	261	0	0.0	207	22360	40	0	1.00	430	200	UCIAMS-17571	2012-12-21
7421	20	1	0	26368.0	10	261	0	0.0	208	22535	45	0	1.00	430	200	UCIAMS-19526	2012-12-21
7422	20	1	0	26460.0	10	264	0	0.0	209	22760	50	0	1.00	430	200	UCIAMS-16959	2012-12-21
7423	20	1	0	26551.0	10	263	0	0.0	210	22760	160	0	1.00	430	200	CAMS-52756	2012-12-21
7424	20	1	0	26551.0	10	263	0	0.0	211	22765	50	0	1.00	430	200	UCIAMS-19527	2012-12-21
7425	20	1	0	26641.0	10	258	0	0.0	212	23230	50	0	1.00	430	200	UCIAMS-16960	2012-12-21
7426	20	1	0	26641.0	10	258	0	0.0	213	23175	45	0	1.00	430	200	UCIAMS-19531	2012-12-21
7427	20	1	0	26731.0	10	249	0	0.0	214	22880	160	0	1.00	430	200	UCIAMS-3450	2012-12-21
7428	20	1	0	26731.0	10	249	0	0.0	215	23050	50	0	1.00	430	200	UCIAMS-19532	2012-12-21
7429	20	1	0	26818.0	10	237	0	0.0	216	22875	40	0	1.00	430	200	UCIAMS-16961	2012-12-21
7430	20	1	0	26905.0	10	222	0	0.0	217	22890	45	0	1.00	430	200	UCIAMS-17572	2012-12-21
7431	20	1	0	26991.0	10	205	0	0.0	218	22945	50	0	1.00	430	200	UCIAMS-19533	2012-12-21
7432	20	1	0	26991.0	10	205	0	0.0	219	23070	70	0	1.00	430	200	UCIAMS-21437	2012-12-21
7433	20	1	0	27076.0	10	187	0	0.0	220	22960	50	0	1.00	430	200	UCIAMS-19534	2012-12-21
7434	20	1	0	27159.0	10	171	0	0.0	221	23410	120	0	1.00	430	200	UCIAMS-3558	2012-12-21
7435	20	1	0	27159.0	10	171	0	0.0	222	23940	350	0	1.00	430	200	UCIAMS-3451	2012-12-21
7436	20	1	0	27159.0	10	171	0	0.0	223	23795	50	0	1.00	430	200	UCIAMS-19535	2012-12-21
7437	20	1	0	27242.0	10	159	0	0.0	224	23230	70	0	1.00	430	200	UCIAMS-16962	2012-12-21
7438	20	1	0	27242.0	10	159	0	0.0	225	23130	60	0	1.00	430	200	UCIAMS-21438	2012-12-21
7439	20	1	0	27324.0	10	153	0	0.0	226	23430	50	0	1.00	430	200	UCIAMS-17573	2012-12-21
7440	20	1	0	27357.0	10	152	0	0.0	227	23800	150	0	1.00	430	200	NSRL-13108	2012-12-21
7441	20	1	0	27406.0	10	150	0	0.0	228	23750	70	0	1.00	430	200	CAMS-52757	2012-12-21
7442	20	1	0	27487.0	10	149	0	0.0	229	24100	120	0	1.00	430	200	NSRL-13109	2012-12-21
7443	20	1	0	27487.0	10	149	0	0.0	230	23770	80	0	1.00	430	200	UCIAMS-21439	2012-12-21
7444	20	1	0	27568.0	10	146	0	0.0	231	23640	60	0	1.00	430	200	UCIAMS-21443	2012-12-21
7445	20	1	0	27634.0	10	142	0	0.0	232	24400	170	0	1.00	430	200	NSRL-13110	2012-12-21
7446	20	1	0	27650.0	10	141	0	0.0	233	23550	70	0	1.00	430	200	UCIAMS-21444	2012-12-21
7447	20	1	0	27733.0	10	133	0	0.0	234	24560	70	0	1.00	430	200	UCIAMS-21445	2012-12-21
7448	20	1	0	27767.0	10	130	0	0.0	235	24500	190	0	1.00	430	200	NSRL-13111	2012-12-21
7449	20	1	0	27818.0	10	125	0	0.0	236	24300	140	0	1.00	430	200	NSRL-12286	2012-12-21
