setno calage c14age c14sig calsig
9 29851.0 26080 160 92
9 29369.0 24545 270 94
9 29237.0 25110 147 95
9 29165.0 24895 139 95
9 29060.0 25355 70 96
9 29039.0 25130 185 96
9 29032.0 24525 597 96
9 29004.0 25340 100 96
9 28999.0 24700 270 96
9 28953.0 24924 136 96
9 28909.0 26135 820 96
9 28902.0 24875 230 95
9 28902.0 24678 258 95
9 28872.0 24548 121 96
9 28853.0 25109 171 96
9 28834.0 25063 144 96
9 28813.0 25152 306 96
9 28799.0 24501 228 96
9 28780.0 25020 206 96
9 28753.0 24364 252 96
9 28747.0 24695 126 96
9 28711.0 24954 150 96
9 28613.0 24270 130 96
9 28467.0 24506 290 96
9 28307.0 23730 120 96
9 28285.0 24367 191 96
9 28274.0 24595 265 96
9 28259.0 23912 260 96
9 28252.0 24432 120 96
9 28101.0 23938 169 95
9 28101.0 23923 115 95
9 28101.0 23970 104 95
9 28078.0 24389 205 95
9 28039.0 23970 170 95
9 27991.0 23890 210 95
9 27960.0 24495 270 95
9 27943.0 23794 232 95
9 27861.0 23727 232 95
9 27835.0 23800 175 95
9 27800.0 24099 143 94
9 27762.0 23611 169 94
9 27730.0 23677 124 94
9 27723.0 23400 500 94
9 27691.0 23774 159 93
9 27678.0 23714 243 93
9 27623.0 23377 266 93
9 27620.0 23717 190 93
9 27595.0 22298 264 93
9 27534.0 23464 200 93
9 27482.0 23269 303 92
9 27482.0 23315 134 92
9 27388.0 22233 386 91
9 27377.0 23170 150 91
9 27308.0 22280 171 90
9 27248.0 23042 233 90
9 27214.0 22281 159 90
9 27152.0 22630 220 89
9 27123.0 23147 188 89
9 26978.0 22346 172 87
9 26937.0 22078 157 87
9 26782.0 22475 130 84
9 26734.0 22600 440 83
9 26714.0 22055 264 83
9 26567.0 22578 103 79
9 26442.0 22541 170 76
9 26384.0 22076 293 74
9 26189.0 22540 176 67
9 26153.0 21946 151 65
9 25909.0 22017 95 60
9 25867.0 21274 201 59
9 25724.0 21489 346 58
9 25554.0 21059 151 60
9 25447.0 20826 151 61
9 25363.0 21406 137 62
9 25342.0 20971 136 62
9 25309.0 21001 304 63
9 25027.0 20571 454 64
9 24975.0 20258 249 63
9 24922.0 20537 562 63
9 24813.0 20307 567 62
9 24761.0 20503 446 61
9 24652.0 20428 147 59
9 24628.0 20630 130 59
9 24609.0 20728 305 59
9 24530.0 20458 139 57
9 24442.0 20115 201 53
9 24382.0 20367 154 51
9 24376.0 20636 157 51
9 24342.0 20238 231 50
9 24278.0 20396 305 48
9 24220.0 19830 365 49
9 24061.0 19636 753 53
9 24054.0 20041 207 53
9 24017.0 19457 201 53
9 23959.0 19810 203 53
9 23778.0 19792 129 53
9 23674.0 20299 112 53
9 23500.0 19755 139 53
9 23493.0 19425 305 53
9 23462.0 19191 131 53
9 23311.0 19027 388 50
9 23206.0 19481 130 49
9 23134.0 19915 117 47
9 22894.0 19285 82 43
9 22881.0 18931 453 43
9 22787.0 19370 135 42
9 22753.0 18831 146 42
9 22753.0 18781 201 42
9 22727.0 18975 290 42
9 22691.0 18769 132 41
9 22682.0 18741 322 41
9 22654.0 18810 110 40
9 22505.0 18967 122 36
9 22450.0 18831 102 34
9 22408.0 18681 89 31
9 22408.0 18652 91 31
9 22256.0 18088 226 33
9 22207.0 17973 126 35
9 22182.0 18112 126 36
9 22107.0 17962 127 40
9 21913.0 18240 228 46
9 21870.0 17598 427 46
9 21802.0 17957 201 47
9 21755.0 17951 115 48
9 21696.0 17433 201 49
9 21596.0 17626 284 50
9 21590.0 17747 162 50
9 21492.0 17825 60 53
9 21376.0 17451 208 53
9 21364.0 17881 115 53
9 21330.0 17954 100 54
9 21273.0 17469 128 53
9 21254.0 17203 177 53
9 21254.0 18174 304 53
9 21253.0 17531 98 53
9 21244.0 17745 140 53
9 21168.0 17653 93 53
9 21147.0 17630 80 53
9 21147.0 17493 72 53
9 21068.0 17572 73 53
9 21065.0 17597 96 53
9 20853.0 17221 117 52
9 20804.0 17267 60 52
9 20738.0 16846 275 53
9 20728.0 17380 240 53
9 20679.0 17145 90 53
9 20627.0 16950 185 53
9 20587.0 17247 92 53
9 20583.0 16952 79 53
9 20464.0 17135 170 53
9 20402.0 16830 76 53
9 20387.0 16905 84 54
9 20367.0 17106 167 54
9 20302.0 17065 240 54
9 20292.0 16859 102 55
9 20236.0 16950 105 55
9 20236.0 16700 178 55
9 20175.0 16640 263 57
9 20143.0 16685 74 57
9 20143.0 16568 71 57
9 20122.0 16750 220 58
9 20020.0 16678 206 59
9 19965.0 16009 137 59
9 19961.0 16280 195 59
9 19825.0 16698 127 61
9 19763.0 16723 104 60
9 19755.0 16570 125 60
9 19684.0 16346 94 59
9 19630.0 16391 77 59
9 19597.0 15990 180 59
9 19416.0 15915 230 57
9 19330.0 16024 868 55
9 19151.0 15695 180 52
9 19100.0 15918 295 50
9 19041.0 16044 77 51
9 19012.0 15632 313 51
9 18989.0 15991 82 50
9 18855.0 15044 528 48
9 18830.0 15857 81 48
9 18777.0 15730 145 46
9 18765.0 15661 53 46
9 18727.0 15480 140 44
9 18671.0 15755 270 44
9 18631.0 15398 72 41
9 18616.0 15540 209 41
9 18561.0 15385 119 39
9 18502.0 15125 185 41
9 18454.0 15086 74 40
9 18442.0 15202 90 39
9 18402.0 15279 74 39
9 18382.0 15277 80 39
9 18328.0 15245 149 37
9 18320.0 15088 63 37
9 18270.0 14860 195 38
9 18229.0 14911 76 41
9 18216.0 14630 60 42
9 18157.0 14748 67 46
9 18123.0 14631 113 47
9 18078.0 14595 90 49
9 18049.0 14632 316 50
9 18022.0 14736 80 50
9 17915.0 14407 222 53
9 17911.0 14695 60 53
9 17762.0 14792 142 55
9 17513.0 14582 93 57
9 17485.0 14523 74 57
9 17419.0 14440 95 55
9 17136.0 13981 172 54
9 17057.0 14295 85 57
9 16980.0 14159 116 56
9 16901.0 13815 70 57
